Computation of population skweness started
Started writing results to file: sin_function_timing1.csv
average: 154.384106522498060
 population_value: 151.463845001355480, index i: 0, index j: 71, accumulated_mean: 30.976145461929509  
 population_value: 127.345398345088670, index i: 0, index j: 72, accumulated_mean: 30.975786189972975  
 population_value: 151.463845001355480, index i: 0, index j: 73, accumulated_mean: 30.975782006182389  
 population_value: 151.463845001355480, index i: 0, index j: 74, accumulated_mean: 30.975777822392743  
 population_value: 151.463845001355480, index i: 0, index j: 75, accumulated_mean: 30.975773638604039  
 population_value: 151.463845001355480, index i: 0, index j: 76, accumulated_mean: 30.975769454816273  
 population_value: 151.463845001355480, index i: 0, index j: 77, accumulated_mean: 30.975765271029456  
 population_value: 118.662757548832630, index i: 0, index j: 78, accumulated_mean: 30.975137856852530  
 population_value: 151.463845001355480, index i: 0, index j: 79, accumulated_mean: 30.975133673207736  
 population_value: 158.217010065110170, index i: 0, index j: 80, accumulated_mean: 30.975126469353267  
 population_value: 151.463845001355480, index i: 0, index j: 81, accumulated_mean: 30.975122285711038  
 population_value: 151.463845001355480, index i: 0, index j: 82, accumulated_mean: 30.975118102069750  
 population_value: 150.499107135104790, index i: 0, index j: 83, accumulated_mean: 30.975110697129203  
 population_value: 113.839068217579270, index i: 0, index j: 84, accumulated_mean: 30.974302158817775  
 population_value: 151.463845001355480, index i: 0, index j: 85, accumulated_mean: 30.974297975360884  
 population_value: 151.463845001355480, index i: 0, index j: 86, accumulated_mean: 30.974293791904934  
 population_value: 118.662757548832630, index i: 0, index j: 87, accumulated_mean: 30.973666427301492  
 population_value: 150.499107135104790, index i: 0, index j: 88, accumulated_mean: 30.973659022938666  
 population_value: 118.662757548832630, index i: 0, index j: 89, accumulated_mean: 30.973031679721114  
 population_value: 118.662757548832630, index i: 0, index j: 90, accumulated_mean: 30.972404357638776  
 population_value: 150.499107135104790, index i: 0, index j: 91, accumulated_mean: 30.972396953778240  
 population_value: 158.217010065110170, index i: 0, index j: 92, accumulated_mean: 30.972389750983577  
 population_value: 151.463845001355480, index i: 0, index j: 93, accumulated_mean: 30.972385567956717  
 population_value: 119.627495415083300, index i: 0, index j: 94, accumulated_mean: 30.971791732329024  
 population_value: 150.499107135104790, index i: 0, index j: 95, accumulated_mean: 30.971784328712310  
 population_value: 159.181747931360830, index i: 0, index j: 96, accumulated_mean: 30.971773044854682  
 population_value: 118.662757548832630, index i: 0, index j: 97, accumulated_mean: 30.971145765176718  
 population_value: 151.463845001355480, index i: 0, index j: 98, accumulated_mean: 30.971141582429578  
 population_value: 155.322796466358140, index i: 0, index j: 99, accumulated_mean: 30.971141150366702  
 population_value: 156.287534332608830, index i: 1, index j: 0, accumulated_mean: 30.971139373943036  
 population_value: 151.463845001355480, index i: 1, index j: 1, accumulated_mean: 30.971135191197337  
 population_value: 151.463845001355480, index i: 1, index j: 2, accumulated_mean: 30.971131008452581  
 population_value: 152.428582867606140, index i: 1, index j: 3, accumulated_mean: 30.971129132961124  
 population_value: 160.146485797611520, index i: 1, index j: 4, accumulated_mean: 30.971112856444083  
