Computation of population skweness started
Started writing results to file: sin_function_timing2.csv
average: 192.589478668744790
 population_value: 189.654068562965760, index i: 1, index j: 16  
 population_value: 148.582486835954060, index i: 1, index j: 17  
 population_value: 195.694007052232190, index i: 1, index j: 18  
 population_value: 149.790474533807360, index i: 1, index j: 19  
 population_value: 187.238093167259190, index i: 1, index j: 20  
 population_value: 196.901994750085460, index i: 1, index j: 21  
 population_value: 148.582486835954060, index i: 1, index j: 22  
 population_value: 189.654068562965760, index i: 1, index j: 23  
 population_value: 189.654068562965760, index i: 1, index j: 24  
 population_value: 189.654068562965760, index i: 1, index j: 25  
 population_value: 155.830413023073790, index i: 1, index j: 26  
 population_value: 148.582486835954060, index i: 1, index j: 27  
 population_value: 190.862056260819060, index i: 1, index j: 28  
 population_value: 196.901994750085460, index i: 1, index j: 29  
 population_value: 188.446080865112460, index i: 1, index j: 30  
 population_value: 194.486019354378900, index i: 1, index j: 31  
 population_value: 190.862056260819060, index i: 1, index j: 32  
 population_value: 189.654068562965760, index i: 1, index j: 33  
 population_value: 195.694007052232190, index i: 1, index j: 34  
 population_value: 189.654068562965760, index i: 1, index j: 35  
 population_value: 189.654068562965760, index i: 1, index j: 36  
 population_value: 188.446080865112460, index i: 1, index j: 37  
 population_value: 188.446080865112460, index i: 1, index j: 38  
 population_value: 189.654068562965760, index i: 1, index j: 39  
 population_value: 192.070043958672330, index i: 1, index j: 40  
 population_value: 149.790474533807360, index i: 1, index j: 41  
 population_value: 154.622425325220490, index i: 1, index j: 42  
 population_value: 188.446080865112460, index i: 1, index j: 43  
 population_value: 189.654068562965760, index i: 1, index j: 44  
 population_value: 190.862056260819060, index i: 1, index j: 45  
 population_value: 189.654068562965760, index i: 1, index j: 46  
 population_value: 190.862056260819060, index i: 1, index j: 47  
 population_value: 189.654068562965760, index i: 1, index j: 48  
 population_value: 189.654068562965760, index i: 1, index j: 49  
 population_value: 188.446080865112460, index i: 1, index j: 50  
 population_value: 189.654068562965760, index i: 1, index j: 51  
